Azimuth,Elevation,Distance
45,10,1.4
50,10,1.4
55,10,1.4
60,10,1.4
65,10,1.4
70,10,1.4
75,10,1.4
80,10,1.4
85,10,1.4
90,10,1.4
95,10,1.4
100,10,1.4
105,10,1.4
110,10,1.4
115,10,1.4
120,10,1.4
125,10,1.4
130,10,1.4
135,10,1.4
140,10,1.4
145,10,1.4
150,10,1.4
155,10,1.4
160,10,1.4
165,10,1.4
170,10,1.4
175,10,1.4
180,10,1.4
185,10,1.4
190,10,1.4
195,10,1.4
200,10,1.4
205,10,1.4
210,10,1.4
215,10,1.4
220,10,1.4
225,10,1.4
230,10,1.4
235,10,1.4
240,10,1.4
245,10,1.4
250,10,1.4
255,10,1.4
260,10,1.4
265,10,1.4
270,10,1.4
275,10,1.4
280,10,1.4
285,10,1.4
290,10,1.4
295,10,1.4
300,10,1.4
305,10,1.4
310,10,1.4
315,10,1.4
320,10,1.4
325,10,1.4
330,10,1.4
335,10,1.4
340,10,1.4
345,10,1.4
350,10,1.4
355,10,1.4
0,20,1.4
5,20,1.4
10,20,1.4
15,20,1.4
20,20,1.4
25,20,1.4
30,20,1.4
35,20,1.4
40,20,1.4
45,20,1.4
50,20,1.4
55,20,1.4
60,20,1.4
65,20,1.4
70,20,1.4
75,20,1.4
80,20,1.4
85,20,1.4
90,20,1.4
95,20,1.4
100,20,1.4
105,20,1.4
110,20,1.4
115,20,1.4
120,20,1.4
125,20,1.4
130,20,1.4
135,20,1.4
140,20,1.4
145,20,1.4
150,20,1.4
155,20,1.4
160,20,1.4
165,20,1.4
170,20,1.4
175,20,1.4
180,20,1.4
185,20,1.4
190,20,1.4
195,20,1.4
200,20,1.4
205,20,1.4
210,20,1.4
215,20,1.4
220,20,1.4
225,20,1.4
230,20,1.4
235,20,1.4
240,20,1.4
245,20,1.4
250,20,1.4
255,20,1.4
260,20,1.4
265,20,1.4
270,20,1.4
275,20,1.4
280,20,1.4
285,20,1.4
290,20,1.4
295,20,1.4
300,20,1.4
305,20,1.4
310,20,1.4
315,20,1.4
320,20,1.4
325,20,1.4
330,20,1.4
335,20,1.4
340,20,1.4
345,20,1.4
350,20,1.4
355,20,1.4
0,30,1.4
6,30,1.4
12,30,1.4
18,30,1.4
24,30,1.4
30,30,1.4
36,30,1.4
42,30,1.4
48,30,1.4
54,30,1.4
60,30,1.4
66,30,1.4
72,30,1.4
78,30,1.4
84,30,1.4
90,30,1.4
96,30,1.4
102,30,1.4
108,30,1.4
114,30,1.4
120,30,1.4
126,30,1.4
132,30,1.4
138,30,1.4
144,30,1.4
150,30,1.4
156,30,1.4
162,30,1.4
168,30,1.4
174,30,1.4
180,30,1.4
186,30,1.4
192,30,1.4
198,30,1.4
204,30,1.4
210,30,1.4
216,30,1.4
222,30,1.4
228,30,1.4
234,30,1.4
240,30,1.4
246,30,1.4
252,30,1.4
258,30,1.4
264,30,1.4
270,30,1.4
276,30,1.4
282,30,1.4
288,30,1.4
294,30,1.4
300,30,1.4
306,30,1.4
312,30,1.4
318,30,1.4
324,30,1.4
330,30,1.4
336,30,1.4
342,30,1.4
348,30,1.4
354,30,1.4
0,40,1.4
6.428571429,40,1.4
12.85714286,40,1.4
19.28571429,40,1.4
